@relation Acc_Data_compiled
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute label {A,B,C,D,E}
@data
361.0,284.0,304.0,373.0,214.0,242.0,A
360.0,284.0,305.0,373.0,215.0,243.0,A
361.0,283.0,305.0,374.0,215.0,243.0,A
360.0,284.0,306.0,373.0,215.0,244.0,A
360.0,284.0,306.0,373.0,215.0,244.0,A
360.0,284.0,306.0,373.0,215.0,243.0,A
359.0,284.0,307.0,373.0,214.0,243.0,A
359.0,284.0,305.0,373.0,215.0,242.0,A
360.0,283.0,305.0,373.0,215.0,242.0,A
360.0,283.0,306.0,373.0,214.0,242.0,A
360.0,283.0,306.0,373.0,215.0,242.0,A
361.0,283.0,306.0,372.0,215.0,241.0,A
360.0,284.0,304.0,373.0,215.0,239.0,A
360.0,283.0,305.0,374.0,214.0,242.0,A
360.0,283.0,305.0,374.0,214.0,242.0,A
360.0,284.0,303.0,373.0,214.0,242.0,A
360.0,284.0,303.0,372.0,215.0,240.0,A
361.0,283.0,303.0,373.0,214.0,243.0,A
361.0,283.0,304.0,373.0,215.0,240.0,A
361.0,283.0,304.0,373.0,214.0,241.0,A
360.0,284.0,304.0,373.0,214.0,240.0,A
360.0,283.0,305.0,374.0,215.0,242.0,A
360.0,284.0,305.0,373.0,214.0,244.0,A
360.0,283.0,305.0,373.0,214.0,242.0,A
360.0,283.0,304.0,374.0,215.0,243.0,A
360.0,283.0,305.0,373.0,214.0,243.0,A
360.0,283.0,305.0,374.0,215.0,243.0,A
360.0,284.0,305.0,374.0,215.0,243.0,A
360.0,283.0,306.0,373.0,215.0,244.0,A
360.0,284.0,305.0,374.0,215.0,242.0,A
360.0,284.0,306.0,373.0,215.0,241.0,A
360.0,283.0,306.0,373.0,214.0,242.0,A
360.0,283.0,306.0,373.0,214.0,243.0,A
360.0,283.0,305.0,372.0,214.0,242.0,A
360.0,283.0,304.0,373.0,215.0,242.0,A
360.0,283.0,304.0,374.0,215.0,242.0,A
360.0,283.0,304.0,373.0,215.0,241.0,A
361.0,283.0,305.0,373.0,215.0,241.0,A
359.0,283.0,304.0,373.0,215.0,241.0,A
360.0,283.0,305.0,372.0,214.0,242.0,A
360.0,283.0,304.0,373.0,214.0,241.0,A
360.0,284.0,304.0,373.0,215.0,242.0,A
361.0,284.0,305.0,374.0,215.0,242.0,A
359.0,283.0,305.0,373.0,215.0,243.0,A
360.0,283.0,304.0,374.0,215.0,243.0,A
360.0,283.0,305.0,373.0,215.0,242.0,A
360.0,283.0,305.0,373.0,214.0,241.0,A
360.0,283.0,304.0,373.0,214.0,241.0,A
361.0,283.0,304.0,374.0,216.0,241.0,A
360.0,283.0,304.0,373.0,215.0,241.0,A
361.0,283.0,304.0,373.0,215.0,240.0,A
360.0,282.0,304.0,373.0,215.0,241.0,A
360.0,283.0,304.0,374.0,214.0,241.0,A
360.0,282.0,305.0,373.0,215.0,242.0,A
360.0,283.0,304.0,373.0,214.0,243.0,A
360.0,283.0,304.0,373.0,215.0,241.0,A
359.0,283.0,305.0,373.0,215.0,242.0,A
359.0,284.0,305.0,374.0,215.0,242.0,A
360.0,283.0,305.0,374.0,215.0,243.0,A
360.0,283.0,305.0,373.0,215.0,241.0,A
360.0,283.0,306.0,374.0,215.0,242.0,A
360.0,283.0,305.0,373.0,215.0,241.0,A
359.0,283.0,305.0,373.0,215.0,242.0,A
359.0,284.0,306.0,372.0,215.0,242.0,A
360.0,282.0,304.0,373.0,215.0,241.0,A
360.0,283.0,305.0,373.0,215.0,243.0,A
360.0,283.0,304.0,373.0,215.0,241.0,A
360.0,281.0,305.0,373.0,214.0,240.0,A
360.0,282.0,306.0,372.0,215.0,240.0,A
361.0,283.0,305.0,373.0,215.0,241.0,A
361.0,283.0,305.0,373.0,215.0,241.0,A
360.0,283.0,305.0,374.0,214.0,241.0,A
361.0,284.0,305.0,374.0,214.0,240.0,A
360.0,282.0,304.0,373.0,214.0,241.0,A
361.0,282.0,304.0,372.0,215.0,240.0,A
360.0,283.0,304.0,372.0,215.0,240.0,A
360.0,282.0,305.0,374.0,215.0,242.0,A
360.0,282.0,305.0,375.0,215.0,243.0,A
361.0,282.0,305.0,374.0,216.0,243.0,A
361.0,283.0,305.0,373.0,215.0,241.0,A
360.0,283.0,307.0,373.0,214.0,241.0,A
360.0,282.0,306.0,373.0,214.0,240.0,A
360.0,283.0,307.0,373.0,215.0,241.0,A
360.0,283.0,304.0,373.0,214.0,240.0,A
359.0,283.0,306.0,372.0,214.0,240.0,A
359.0,282.0,307.0,372.0,214.0,242.0,A
360.0,283.0,306.0,372.0,214.0,241.0,A
359.0,283.0,305.0,373.0,214.0,244.0,A
359.0,283.0,307.0,373.0,214.0,242.0,A
361.0,284.0,306.0,374.0,213.0,243.0,A
360.0,284.0,305.0,374.0,214.0,242.0,A
360.0,284.0,305.0,373.0,215.0,243.0,A
360.0,284.0,306.0,373.0,214.0,243.0,A
362.0,285.0,299.0,374.0,219.0,245.0,A
362.0,285.0,300.0,374.0,219.0,246.0,A
362.0,286.0,299.0,375.0,219.0,245.0,A
363.0,286.0,300.0,374.0,219.0,245.0,A
362.0,286.0,299.0,375.0,218.0,247.0,A
362.0,285.0,298.0,374.0,218.0,248.0,A
362.0,287.0,300.0,375.0,219.0,244.0,A
361.0,286.0,300.0,373.0,218.0,244.0,A
360.0,285.0,301.0,373.0,219.0,245.0,A
361.0,285.0,300.0,375.0,218.0,246.0,A
362.0,285.0,301.0,375.0,220.0,245.0,A
361.0,285.0,300.0,374.0,218.0,246.0,A
362.0,285.0,300.0,374.0,219.0,246.0,A
362.0,286.0,301.0,374.0,219.0,245.0,A
362.0,285.0,300.0,375.0,219.0,246.0,A
361.0,286.0,301.0,374.0,218.0,246.0,A
361.0,286.0,300.0,375.0,219.0,246.0,A
362.0,286.0,299.0,375.0,218.0,244.0,A
362.0,286.0,300.0,373.0,220.0,245.0,A
361.0,286.0,300.0,374.0,219.0,246.0,A
361.0,285.0,300.0,376.0,218.0,247.0,A
362.0,285.0,298.0,376.0,218.0,246.0,A
363.0,285.0,298.0,375.0,218.0,244.0,A
362.0,285.0,300.0,375.0,219.0,244.0,A
361.0,285.0,299.0,373.0,218.0,245.0,A
362.0,285.0,299.0,375.0,218.0,245.0,A
362.0,286.0,299.0,375.0,218.0,245.0,A
361.0,285.0,299.0,374.0,219.0,244.0,A
361.0,285.0,300.0,374.0,218.0,245.0,A
361.0,286.0,299.0,374.0,218.0,245.0,A
362.0,286.0,299.0,375.0,218.0,245.0,A
362.0,285.0,301.0,374.0,218.0,246.0,A
361.0,286.0,300.0,374.0,218.0,245.0,A
362.0,285.0,300.0,374.0,219.0,245.0,A
361.0,285.0,299.0,375.0,218.0,246.0,A
361.0,286.0,299.0,375.0,218.0,248.0,A
362.0,285.0,299.0,375.0,218.0,246.0,A
362.0,287.0,299.0,374.0,219.0,245.0,A
363.0,286.0,300.0,375.0,219.0,246.0,A
362.0,286.0,299.0,373.0,218.0,245.0,A
362.0,286.0,299.0,374.0,219.0,246.0,A
361.0,286.0,300.0,374.0,218.0,245.0,A
361.0,287.0,299.0,374.0,217.0,245.0,A
